date,series,part,title,pov,contact,skin,mood,script,cta,description,hashtags,pinned
2026-10-16,Wrong Number,,A kid texted the wrong grandad 🏥,,Stranger,,,"Stranger: Grandpa it's me. I'm at the hospital. Room 4.
Me: i think you have the wrong number
Stranger: Please. I don't know his new number. Mom won't give it to me.
Me: i'm so sorry. what happened?
Stranger: I fell off my bike. It's not bad. I just wanted him here.
[pause 2]
Me: which hospital
Stranger: St. Mary's. Why?
[typing 3]
Me: i'm a nurse there. i'm on shift right now.
[boom]
Stranger: You're the one who brought me juice??
Me: room 4. kid with the green cast.
Stranger: You're not my grandpa.
Me: no. but i'm on break. want company?
[react ❤️]",Would you have gone to Room 4? 🏥,A kid in the hospital texted the wrong number looking for his grandpa. The wrong number was already in the building.,#textstory #chatstory #wrongnumber #wholesome #storytime,Tell us about a nurse who went above and beyond 👇
2026-10-17,Little Brother Logic,,My brother broke the TV to hide something 📺,,Bro,,sad,"Bro: the tv is broke. a little bit.
Me: define a little bit
Bro: it has a line. and also it is off.
Me: mum is going to end you
Bro: i know. dont tell her yet.
[typing 3]
Me: how did you even do it
Bro: i threw the controller.
Me: WHY
[seen]
[pause 1.5]
[boom]
Bro: dad promised he would call at 6. it is 9.
Me: ok. say i did it.
Bro: really
Me: really. get your coat, were getting chips.
[react ❤️]",Would you take the blame?,His little brother put a crack across the television and begged him not to tell their mum yet. The reason was not what he expected.,#textstory #chatstory #sad #siblings #storytime,Big brothers take the blame. 👇
2026-10-18,Last Message,,The last thing my best friend texted me ✈️,,Bestie,,,"Bestie: This is my last text from this number.
Me: why
Bestie: Deployment got moved up. Nine months. They take the phones.
Me: i thought you had until friday
Bestie: Bus leaves in an hour.
[pause 2]
Me: i'm coming
Bestie: Don't. I'll cry. Just be there when I'm back.
Me: i'll be at the gate
Bestie: Promise?
Me: with the ugliest sign you've ever seen
[react ❤️]
[time Nine months later]
Bestie: Landing in 20. Is the sign ugly?
[typing 2]
[boom]
Bestie: Perfect. Don't move.
[react ❤️]",Who would you wait 9 months for? ✈️,"My best friend texted an hour before deployment. Nine months later, I kept my promise at the gate.",#textstory #chatstory #emotional #bestfriend #storytime,Tag the friend you'd make the ugly sign for 👇
2026-10-19,Dad Jokes Inc,,My dad has completely lost the plot ⛵,,Dad,,,"Dad: I bought a boat.
Me: you don't live near water
Dad: I do now.
Me: what does that mean
[typing 2]
Me: that's a pool
Dad: The boat is in the pool.
Me: WHY
Dad: Your mother said no boat. She said nothing about a pool.
Me: she's going to kill you
[seen]
[pause 1.5]
Dad: She's in the boat.
[boom]
Me: ...she looks happy
Dad: Captain's orders.
[react 😂]",Would your mom get in the boat? ⛵,Dad bought a boat. We live 300 miles from the ocean. He found a loophole.,#textstory #chatstory #dadjokes #dadtexts #funny,Best loophole your dad ever found? 👇
2026-10-20,Texts From Mom,,My mum found out I sit alone at lunch 💙,,Mom,,,"Mom: Your teacher called me.
Me: about what
Mom: She said you've been sitting alone at lunch.
Me: it's fine
Mom: It is not fine.
Me: mom please drop it
[seen]
[pause 2]
Mom: I packed two lunches for tomorrow.
Me: why two
Mom: Because someone is going to sit with you.
Me: you can't make people sit with me
[typing 3]
[boom]
Mom: I'm not making anyone. I'm coming. I took the day off.
Me: MOM NO
Mom: I'm bringing the good cookies. Everyone sits with the good cookies.
[react ❤️]",Would you let her come? 🍪,My teacher told Mom I eat lunch alone. Mom took the day off work. She has a plan involving cookies.,#textstory #chatstory #momtexts #wholesome #school,Did your mom ever show up at school? 👇
2026-10-21,Last Message,,My dad still texts my mum goodnight 💙,,Dad,,,"Dad: Night love. Bins are out.
Me: dad
Me: you sent that to me
Dad: Did I. Sorry.
Me: whos it meant for
[typing 3]
Dad: Your mother's old number. It's not connected to anything.
Me: youve been texting it
Dad: Every night since March. It just goes nowhere.
[seen]
[pause 1.5]
[boom]
Dad: Thirty-one years I said goodnight. I'm not stopping now.
Me: dont stop
Dad: Night then. Bins are out.
[react 💙]",Should someone tell him?,He sent it to the wrong person by one tap. The right person has not had that number since March.,#textstory #chatstory #sad #dadtexts #storytime,Nobody is telling him. 👇
2026-10-22,Grandma Learns Texting,,My grandma is being scammed by a prince 👑,,Grandma,,,"Grandma: I GOT A TEXT FROM A PRINCE
Me: grandma no
Grandma: HE NEEDS $500 TO UNLOCK HIS GOLD
Me: it's a scam
Grandma: HE CALLED ME BEAUTIFUL
Me: still a scam grandma
Grandma: I SENT HIM SOMETHING
Me: GRANDMA WHAT DID YOU SEND
[typing 3]
Grandma: A PICTURE OF YOUR GRANDFATHER. HE WAS A MARINE.
[pause 1.5]
[boom]
Grandma: THE PRINCE BLOCKED ME.
Me: ...
Grandma: SIX YEARS GONE AND HE STILL PROTECTS ME.
[react ❤️]",Would your grandma fall for it? 👑,Grandma got a text from a prince who needed $500. She sent him one photo. He blocked her.,#textstory #chatstory #grandma #funny #wholesome,Best scam your grandparents ever dodged? 👇
2026-10-23,Group Chat Chaos,,My family panicked for four minutes 🚗,,Family,,sad,"Sis: He's got in a stranger's car. I saw it go.
Mom: WHAT CAR. WHERE.
Dad: Ring him. Now.
Sis: Straight to voicemail.
[typing 3]
Bro: im fine. stop.
Mom: WHOSE CAR ARE YOU IN
Bro: mr hallets. from number 12.
[seen]
[pause 1.8]
[boom]
Bro: he was sat outside the house crying. his wife died tuesday.
Bro: i just got in so he wasnt on his own.
Mom: Oh, love.
Dad: Stay with him. I'm walking down.
[react ❤️]",Would you have got in?,His sister watched him climb into a stranger's car and drive off. The family chat lost its mind for four minutes.,#textstory #chatstory #sad #storytime,Number 12 is not on his own tonight. 👇
2026-10-24,"Mr. Reyes, 3rd Period",,My teacher lied for me. Then he didn't. 🐕,,Mr. Reyes,,,"Teacher: Your mom emailed me.
Me: about what
Teacher: She asked if you really do homework every night from 7 to 9.
Me: ...
Teacher: I said yes.
Me: wait. why?
[typing 3]
Teacher: Because I also see you at the shelter from 7 to 9. Walking dogs.
[seen]
[pause 2]
Me: please don't tell her
Teacher: Why hide it?
Me: she'd say i'm wasting time
[boom]
Teacher: I sent her the shelter's volunteer of the month photo. She's framing it.
Me: you said you wouldn't
Teacher: I said homework. Dogs are homework.
[react ❤️]",Would you have told her? 🐕,Mom asked my teacher if I really do homework every night. He said yes. He knew where I actually was.,#textstory #chatstory #teacher #wholesome #storytime,What did you hide from your parents that was actually good? 👇
2026-10-25,Dog Sitter Updates,,My neighbour wants me to pay for this 📦,,Neighbor,,,"Neighbor: Your dog dug up my yard.
Me: i'm so sorry. i'll pay for it.
Neighbor: He found something.
Me: what
Neighbor: A box.
Me: what's in it
[typing 3]
Neighbor: Letters. 1962. From my dad to my mom. Before I was born.
[pause 2]
Me: oh my god
Neighbor: Forty years in this house. Never knew they were there.
[boom]
Neighbor: Bring your dog over. He gets a steak.
Me: he's already at your door
Neighbor: Of course he is.
[react ❤️]",What would you do with the letters? 💌,My dog dug up the neighbor's yard. I offered to pay. The neighbor offered my dog a steak.,#textstory #chatstory #dogs #emotional #storytime,Best thing a dog ever found? 👇
2026-10-26,Boss Texted at 11 PM,,I got fired by text at 11pm 💼,,Boss,,,"Boss: You're fired.
Me: what?? why?
Boss: Clean out your desk by 5.
Me: i've been here six years
Boss: Exactly.
[seen]
[pause 2]
Me: can i at least know why
[typing 3]
Boss: Because you can't be an employee and my business partner at the same time.
Me: what
[boom]
Boss: Papers are on your desk. Twenty percent. Read them before you cry.
Me: i'm already crying
Boss: Then read them wet.
[react 🔥]",Would you have panicked? 💼,My boss texted 'you're fired' at 11 PM and told me to clean out my desk. Six years. Then he explained.,#textstory #chatstory #boss #plottwist #work,Scariest text you've gotten from work? 👇
2026-10-27,Roommate Notes,,An alarm called FEED HIM goes off nightly ⏰,,Roommate,,,"Roommate: Did you set an alarm for 3:33 AM?
Me: no
Roommate: It's gone off every night this week.
Me: not mine
Roommate: Then whose.
[pause 1.5]
Me: check the old phone in the kitchen drawer
Roommate: The last tenant's?
Me: she left it
Roommate: It's on. 1% battery. The alarm is named FEED HIM.
[seen]
[pause 2]
Me: feed WHO
[typing 3]
[boom]
Roommate: There's a tank behind the water heater. He's fine. He's huge.
Me: WE HAVE A SNAKE??
Roommate: We have a roommate. His name's on the tank. Gerald.
[react 😳]",Would you keep Gerald? 🐍,An alarm named FEED HIM kept going off at 3:33 AM. It wasn't our phone. It wasn't our snake either.,#textstory #chatstory #roommate #creepy #plottwist,Would you move out or feed Gerald? 👇
2026-10-28,Wrong Number,,I played along with a wrong number 🦅,,Stranger,,,"Stranger: The eagle has landed.
Me: wrong number
Stranger: Code red. The eagle is in the nest.
Me: seriously. wrong number.
Stranger: Is this not Kevin?
Me: no
Stranger: Then you didn't hear anything.
Me: about the eagle?
Stranger: There is no eagle.
[pause 1.5]
Me: is the eagle a person
[typing 3]
Stranger: The eagle is a cake. For my wife. Kevin has the candles.
[boom]
Me: happy birthday to your wife
Stranger: She's reading this. Abort. ABORT.
[react 😂]",Would you have played along? 🦅,A stranger texted me 'the eagle has landed.' I said wrong number. The mission continued anyway.,#textstory #chatstory #wrongnumber #funny #storytime,Funniest wrong-number text you've gotten? 👇
2026-10-29,Little Brother Logic,,My brother got married for a pudding 🍮,,Kid,,,"Kid: i have a girlfriend
Me: you're 7
Kid: shes 8. shes older
Me: what's her name
Kid: i forgot
Me: how do you forget your girlfriend's name
Kid: she has a dog
Me: that's not a name
Kid: the dog is named bagel
Me: ok
Kid: she said if i give her my pudding were married
Me: don't do it
[pause 1.5]
Kid: i already did
[boom]
Kid: im married. tell mom
Me: i'm not telling mom
Kid: bagel is coming for dinner
[react 😂]",Would you have traded the pudding? 🍮,My 7-year-old brother traded his pudding and got married. He forgot her name. He remembers the dog's.,#textstory #chatstory #kids #siblings #funny,What did you trade for at 7? 👇
2026-10-30,Texts From Mom,,My mum told me not to open the door 🎃,,Mom,,,"Mom: Don't answer the door tonight.
Me: it's halloween mom
Mom: I mean it. Not for anyone.
Me: why
Mom: Someone's been walking past the house all evening. Same mask every time.
[seen]
[pause 2]
Me: i'm home alone
Mom: I know. Lock the back door too.
Me: mom someone's at the door RIGHT NOW
[typing 3]
[boom]
Mom: It's the Henderson boy. Sixth time. You're giving out full-size bars.
Me: how do you know that
Mom: I'm handing them out from the car so he'll stop.
Me: MOM
Mom: He's on his way back. Don't answer.
[react 😂]",Full-size bars or fun-size? 🎃,Mom texted me not to answer the door on Halloween. Someone in the same mask kept walking past.,#textstory #chatstory #halloween #momtexts #funny,How many times would you go back for full-size bars? 👇
2026-10-31,Wrong Number,,A stranger asked me to come over on Halloween 💙,,Unknown,,,"Unknown: Are you coming? I've got the good ones.
Me: i think youve got the wrong number
Unknown: 14 Pine. Bowl's by the door.
Me: sorry i really dont know you
[typing 3]
Unknown: Oh. My grandson said he'd bring them trick or treating.
Me: what time did he say
Unknown: Six. It's twenty past nine.
[seen]
[pause 1.5]
[boom]
Unknown: I bought the big bars. Nobody's knocked all night.
Me: whats the address again
Unknown: 14 Pine. Blue door.
Me: give me ten minutes
[react ❤️]",Would you have gone?,A wrong number kept insisting he was expected at an address he had never heard of. He almost blocked her.,#textstory #chatstory #wrongnumber #sad #storytime,Somebody knock on 14 Pine. 👇
2026-11-01,Last Message,,She knew this day was coming 😭,,Sis,,,"Sis: Found a box in mum's wardrobe. Don't come up.
Me: why not
Sis: Because I've been sat here twenty minutes.
Me: whats in it
Sis: It's labelled. In her handwriting.
Me: labelled what
[typing 3]
Sis: FOR THE DAY THEY CLEAR THIS OUT.
[seen]
[pause 1.5]
[boom]
Sis: She knew we'd argue about the house. There's a letter each.
Me: im coming up
Sis: Bring tissues. Mine's four pages.
[react 😭]",Would you open yours first?,They went to clear out their mother's wardrobe. She had left something in there addressed to exactly this afternoon.,#textstory #chatstory #sad #storytime,She planned for the day she wouldn't be there. 👇
2026-11-02,Dad Jokes Inc,,My dad did something behind my back 🚚,,Dad,,,"Dad: Check your bank account.
Me: why
Dad: Just check.
Me: dad there's $3,000 in here
Dad: Yep.
Me: what did you do
Dad: Sold the truck.
Me: YOU LOVE THAT TRUCK
[seen]
[pause 2]
Dad: I love you more. Tuition's due Friday.
Me: i was going to figure it out
Dad: I know. I figured it out first.
[typing 2]
[boom]
Dad: Also I kept the horn. Don't ask where it is.
Me: ...where is it
Dad: Your mother's car. She doesn't know yet.
[react ❤️]",What did your parents give up for you? 💙,"Dad told me to check my bank account. $3,000. He'd sold the truck he'd had for 15 years.",#textstory #chatstory #dadtexts #emotional #wholesome,Tell us what your dad gave up 👇
2026-11-03,Group Chat Chaos,,My dad went to the wrong airport ✈️,,Family,,,"Sis: whos picking up grandma from the airport
Mom: Your father.
Dad: I'm at the airport.
Bro: wrong airport?
Dad: There's a second airport?
Mom: SHE LANDS IN TEN MINUTES.
Me: i'm five minutes from the right one. going.
[time Fifteen minutes later]
Me: got her
[typing 3]
Grandma: I AM IN THE CHAT. YOUR FATHER IS AT THE WRONG AIRPORT.
Dad: how are you texting
Grandma: I HAVE HAD A PHONE SINCE JUNE.
[boom]
Grandma: I ALSO HAVE THE CHAT HISTORY. WE WILL DISCUSS THE CAKE.
Bro: she saw the cake
[react 😂]",Who's in trouble? 🎂,Dad went to the wrong airport to get Grandma. Grandma had been in the family group chat since June.,#textstory #chatstory #groupchat #grandma #funny,The cake story is on the channel 🎂 Who's in the most trouble?
